Full Text	GPT-4 Summary	GPT-4 Title
The final option, according to which the concept does not play an important theoretical role (or is too fundamental to be of direct relevance), is actually not implausible as far as the usage by biologists is concerned. In most contexts “complexity” is used in a rather casual way and does not figure in actual scientific descriptions or explanations of biological phenomena. There are exceptions, however. In some areas of biology complexity itself becomes a feature of interest or plays a relevant theoretical role. One case is the debate on complexity trends in evolution that was already mentioned in the introduction. Another example comes from parts of ecology, in which complexity is taken to describe the state of an ecosystem and related to other properties, such as diversity or resilience (Parrott 2010). But even if complexity were not of theoretical interest to biologists at all, this would not mean that there is no interest for philosophers to have a clarified idea of biological complexity. In particular, biological complexity does seem to play an important role in philosophical arguments. According to Mitchell, "the complexity of the subjects studied by the various sciences and the limitations of our representations of acquired knowledge jointly entail an integrative, pluralistic model of science." (Mitchell 2003, p. 2)  And Bechtel and Richardson argue "[i]mplicit in our discussion of organization, complexity, and emergence in the previous section is the basis for rejecting ruthless reductionism and for distinguishing mechanistic reduction from ruthless reduction or any other account that construes lower levels as the source of all explanation". (Bechtel and Richardson 2010, p. xxxvii)	The final option is that complexity does not play a critical theoretical role or is too fundamental for direct relevance, which aligns with how biologists often use the term. However, in some areas, like debates on evolution trends or ecology, complexity becomes significant. Even if complexity is not a critical feature for biologists, philosophers find it crucial for their arguments. Mitchell suggests complexity necessitates an integrative, pluralistic model of science, and Bechtel and Richardson contend it supports rejecting ruthless reductionism.	Biological Complexity - Casual, Crucial, or Fundamental?
It should be noted that similar “metascientific” arguments from complexity are also sometimes put forward by scientists themselves. For example, some systems biologists argue that reductionist approaches are misguided because of the complexity of biological systems: "Biological systems are extremely complex and have emergent properties that cannot be explained, or even predicted, by studying their individual parts. The reductionist approach (...) underestimates this complexity and therefore has an increasingly detrimental influence on many areas of biomedical research." (Van Regenmortel 2004, p. 1016) Given that complexity figures as an essential ingredient in important metascientific arguments, it does seem to be quite relevant what complexity means in biological contexts, and it is unlikely that an appeal to an intuitive notion of complexity will be sufficient to properly assess the merits of these kinds of arguments.	The concept of biological complexity is crucial in metascientific arguments, such as those against reductionist approaches in systems biology. Understanding the exact meaning of this complexity is critical for evaluating these arguments.The concept of biological complexity is crucial in metascientific arguments, such as those against reductionist approaches in systems biology. Understanding the exact meaning of this complexity is critical for evaluating these arguments.	Biological Complexity and Its Role in Metascientific Arguments
In summary, I have suggested that, even though omnipresent in the work of biologists and philosophers of biology, the meaning of “complexity” is rarely made precise in biological contexts. Furthermore, I have argued that there are good reasons to insist on a further clarification of the term. In particular, this is important because there are arguments about science, advanced both by scientists and philosophers, in which a notion of biological complexity figures as an essential ingredient. If complexity does not have a clear meaning, or if there are conflicting ideas about what complexity actually consists in, then a proper assessment of these kinds of arguments will not be possible.	This paper argues for the importance of a precise definition of 'complexity' in biology and philosophy, as it plays a central role in various scientific and philosophical arguments. Without a clear definition, assessing these arguments becomes difficult.	The Need for Defining 'Complexity' in Biology and Philosophy
Clarifying complexity // Ontic and epistemic complexity		
In this section I introduce several major distinctions that suggest that “complexity” has multiple and very different meanings. In the end, however, I argue that it is possible and productive to consider these distinctions from a unified perspective.	This section explores the various interpretations of 'complexity' and, despite the differences, argues for the necessity of a unified perspective on these distinctions.	
As a first step of clarification, it is useful to notice that there are generally two broad senses in which the term “complexity” is applied in the scientific realm. First, complexity is studied as an interesting property of particular systems. Scientists investigate the ways in which systems are complex or exhibit complex behavior, and they try to explain how complexity as a feature of the world can evolve or emerge under certain circumstances. In line with Hans-Jörg Rheinberger, I will refer to this sense as ontic complexity (Rheinberger 1997; see also Kaiser et al. 2014). On the other hand, scientists speak of “complex problems”, just as we do in everyday life, to indicate that they are particularly difficult. In this sense “complexity” does not directly refer to the object under study itself, but to a task, usually cognitive, that relates to the understanding, prediction or control of its behavior. For this sense I will use the term “epistemic complexity”.	Ontic complexity refers to the inherent complexity of a system, while epistemic complexity describes the cognitive difficulty of understanding, predicting, or controlling a system's behavior. Thus, 'complexity' can refer both to a feature of the system itself and to the challenges posed in comprehending it.	Distinction Between Ontic and Epistemic Complexity
The distinction between the complexity of a system and the complexity of a problem will perhaps seem obvious. However, when talking about biological complexity both scientists and philosophers often tacitly shift between these two meanings of complexity. The following quote from Warren Weaver’s 1948 article Science and Complexity may serve as an example:  "Living things (...) present situations in which a half-dozen, or even several dozen quantities are all varying simultaneously, and in subtly interconnected ways. Often they present situations in which the essentially important quantities are either non-quantitative, or have at any rate eluded identification or measurement up to the moment. Thus biological and medical problems often involve the consideration of a most complexly organized whole." (Weaver 1948, p. 536, emphasis added) Here complexity refers, on the one hand, to the “subtly interconnected ways” in which a system is organized as a “most complexly organized whole” and, therefore, to intrinsic features of the system. On the other hand, Weaver invokes the fact that our information about the system is limited, because some quantities have “eluded identification or measurement”, which suggests complexity in an epistemic sense.	In discussing biological complexity, scientists and philosophers often shift between the concepts of ontic and epistemic complexity. For example, Warren Weaver's 1948 work discusses complexity both in terms of a system's intricate organization (ontic complexity) and the difficulties in identifying or measuring certain quantities within the system (epistemic complexity).	Blurring the Lines between Ontic and Epistemic Complexity
While it seems very plausible that those systems that are ontically complex are also the ones that are hard to study, the link is perhaps not as obvious as it may seem at first, and it does not justify a conflation of the two concepts. If complexity is understood as an intrinsic property of a system, it should not depend on the state of knowledge of the investigator and the currently available tools of analysis. By contrast, if complexity is understood in an epistemic sense, we must precisely take into account the investigator’s particular cognitive limitations and her access to information about the system. As I will show in the following, there is a clear link between the two concepts because ontic complexity can be understood in terms of the complexity of describing particular aspects of a system, and thus in terms of an epistemic task. However, the link is non-trivial because many epistemic tasks referred to as complex go beyond the merely descriptive, for example by relating different descriptions with the aim of providing a scientific explanation.	Ontic complexity (an intrinsic property of a system) shouldn't be conflated with epistemic complexity (related to cognitive limitations and information access). They're linked as ontic complexity can be viewed as an epistemic task in system description, but this link extends to more than just description in complex epistemic tasks.	Ontic and Epistemic Complexity Interrelation
 Emergent and mechanical complexity 		
We have already seen above that there is a certain tension between different intuitions about complexity, even if the concept is clearly understood as a property of biological systems, and thus used in an ontic sense. One intuition is that complexity is basically a measure of the complicatedness of a system, which suggests a close connection with complexity in an epistemic sense (because complicated systems are difficult to understand). On the other hand, complexity is often associated with order and organized structure, which suggests that the link between ontic and epistemic complexity is not as straightforward.	There's tension in understanding ontic complexity. On one hand, it's seen as a measure of system complicatedness, which relates it closely to epistemic complexity. On the other hand, it is also associated with order and structure. This indicates a nuanced relationship between ontic and epistemic complexity.	Ontic Complexity - Complicatedness vs Order
A notion of complexity that is related to order and structure seems to be the main focus of what is often called “complexity science”. In this context, complexity is typically understood as a property exhibited by certain classes of dynamical systems. These systems are characterized by features like chaos, nonlinearity, or self-organization. Starting in the 1960s and 1970s, in the course of what some have referred to as the “complex systems revolution”, systems with such features came to be widely studied by mathematicians, physicists and other theoretical scientists (Hooker 2011).	Dynamical systems exhibiting features like chaos, nonlinearity, or self-organization are the focus of "complexity science", a field that emerged in the 1960s and 70s, as part of the "complex systems revolution".	Complexity Science and Dynamical Systems
Ladyman et al. (2013), and more recently Ladyman and Wiesner (2020), have attempted to provide a tentative definition of complexity which is very much in the spirit of complexity science. According to their analysis "[a] complex system is an ensemble of many elements which are interacting in a disordered way, resulting in robust organization and memory." (Ladyman et al. 2013, p. 57) One often invoked paradigm for such systems is a flock of birds, a system which consists of individual units that locally interact more or less randomly, but that give rise to robust and coherent patterns at a higher level without requiring any kind of central control or pre-determined program. Proponents of this perspective often conceive of complexity as an emergent property. I will therefore refer to it as emergent complexity.	Ladyman et. al proposed a definition of complexity that aligns with the spirit of complexity science. They describe a complex system as a collection of elements interacting in a disordered manner, yet yielding robust organization and memory. This is exemplified by a flock of birds, where seemingly random local interactions create large-scale organized patterns.	Ladyman's Definition and Emergent Complexity
While this is certainly one way in which the term “complexity” is used, and while we will later see that there are scientists who think of living systems as complex and self-organized in precisely this way, there seem to be aspects of biological complexity that are not captured by this perspective. Consider the following quote from a textbook in molecular biology: "The increased complexity of eukaryotic replication machinery probably reflects more elaborate controls. For example, the orderly maintenance of different cell types and tissues in animals and plants requires that DNA replication be tightly regulated." (Alberts et al. 2015, p. 254)	Emergent complexity might not cover all facets of biological complexity, as seen in regulated processes like eukaryotic replication, hinting at a deeper level of structural organization.	Limits of Emergent Complexity
This doesn’t sound as if complexity simply “emerged” from lower level disorder. The ways in which the components of a eukaryotic cell interact appear to be extremely specific and have been shaped by a long evolutionary process. Rather than originating in lower level randomness, the complexity of the system seems to be related to the fact that its parts are tightly controlled and cooperate in a highly orderly fashion, much like a mechanical system in which each component plays a very specific role. The paradigm of such a system is of course the mechanical clock. If we take Ladyman et al.’s definition seriously, then a clock is not a complex system at all because it does not consist of elements interacting in a disordered way, and, probably, because a clock is not robust in the relevant sense. This suggests that there is a second important sense in which “complexity” is used by biologists, which I will refer to as mechanical complexity.	Biological complexity also encompasses tightly controlled, specific interactions seen in systems like eukaryotic cells, more akin to a mechanical clock, introducing the concept of mechanical complexity.	Concept of Mechanical Complexity
The two senses of complexity that I have just delineated should not be thought of as referring to radically different kinds of objects, but rather as two extremes of a spectrum. In fact, if asked directly, most biologists would probably agree that regarding their complexity biological systems are situated somewhere between mechanical clocks and flocks of birds.	Biological systems exhibiting aspects of both mechanical and emergent complexity, somewhere between a mechanical clock and a flock of birds.	Spectrum of Complexity
The difference between the two kinds of complexity bears some similarity to the distinction made by Warren Weaver between “organized” and “disorganized complexity”. Weaver describes a problem of disorganized complexity in the following way: "It is a problem in which the number of variables is very large, and one in which each of the many variables has a behavior which is individually erratic, or perhaps totally unknown. However, in spite of this helter-skelter, or unknown, behavior of all the individual variables, the system as a whole possesses certain orderly and analyzable average properties." (Weaver 1948, p. 538)	According to Warren Weaver, disorganized complexity is a problem involving a vast number of variables exhibiting erratic or unknown behaviors. Yet, despite these chaotic individual behaviors, the system as a whole has identifiable and analyzable average properties.	Weaver's Concept of Disorganized Complexity
The paradigmatic illustration for disorganized complexity in Weaver’s sense is the statistical description of a gas. While it is completely impossible to determine the trajectories of the individual molecules constituting the gas, one can describe higher-level regularities with the help of statistical methods, averaging over the behavior of the molecules. Problems of organized complexity, by contrast, involve “dealing simultaneously with a sizable number of factors which are interrelated into an organic whole” (Weaver 1948, p. 539). According to Weaver, these kinds of problems are predominantly found in biology, but also arise in the psychological, economic, and political sciences.	The statistical description of a gas, where the trajectories of individual molecules are unpredictable but higher-level regularities can be described statistically, serves as an example of disorganized complexity. Organized complexity, involving many interconnected factors, is typically found in biology and social sciences.	Illustration of Disorganized Complexity
We have to note, however, that Weaver’s idea of disorganized complexity does not exactly match Ladyman et al.’s definition because Weaver also includes systems in which there is no organization at all. In Ladyman et al.’s view, by contrast, complexity has to be found somewhere between perfect order and complete disorder. In Sect. 4 I will suggest a way in which all these different ideas can be taken into account within a single framework. Before getting there, however, one further issue has to be addressed.	Weaver's disorganized complexity includes unorganized systems, while Ladyman's definition places complexity between perfect order and total disorder.	Discrepancy Between Weaver's and Ladyman's Views on Complexity
 Complexity of mechanism and complexity of behavior 		
When observing how biologists use the term “complexity”, one notices a further distinction that has not yet received much attention in philosophical discussions. Compare the following statements: "Although they are single cells, protozoa can be as intricate, as versatile, and as complex in their behavior as many multicellular organisms." (Alberts et al. 2015, p. 30). "Although bacteria also have cell memory mechanisms, the complexity of the memory circuits in higher eukaryotes is unparalleled." (Alberts et al. 2015, p. 206) In the first case, “complexity” refers to the behavior of a system. The attribution of complexity seems to derive from the fact that some capacity or range of capacities of the system is in some sense impressive. In the second case, “complexity” refers to a mechanism. Here, the attribution of complexity seems to express the idea that the structure or the organization of the system is complicated. Thus, it is natural in the biological context to conceptually distinguish between the complexity of behaviors and the complexity of mechanisms. While this distinction bears some similarity to the distinction between ontic and epistemic complexity, and also to the distinction between mechanical and emergent complexity, it introduces a new aspect because it can be understood as relating different meanings of complexity respectively to the explanans and to the explanandum in biological explanations. In many areas of biology the explanans is provided by the description of a mechanism, while the explanandum is a phenomenon or behavior of interest (Wimsatt 1974; Machamer et al. 2000).	In biology, complexity can refer to either the behavior of a system or its mechanisms. The first suggests an impressive range of capacities, the latter points to complicated structure or organization. This distinction may relate different meanings of complexity to explanans (explanatory mechanism) and explanandum (phenomenon to be explained) in biological explanations.	Complexity in Behavior vs Mechanisms
Complexity of behavior is related to the capacities of a biological system, for example to the number of functions it can perform, to its adaptive response to varying contexts, or to its robustness in the face of perturbations. Complexity of mechanism, by contrast, is more straightforwardly related to how complicated a system is, for example to the number of components, to the complexity of interactions (e.g. linear vs non-linear), or to its topological structure. A very clear example is provided by the central nervous system, which is often called complex with reference to its behavior, i.e. because of the many different tasks it controls or is involved in, and because of its capacity for adaptive behavior and learning. On the other hand, it is called complex with reference to its structure, i.e. the architecture of different parts and the unimaginably large number of neurons and their patterns of connection.	Biological complexity can be behavioral (based on system's adaptive responses and functions) or mechanistic (related to its structural intricacies and interactions).	Behavioral and Mechanistic Complexity in Biological Systems
A priori these are two independent notions, but biologists of course expect that the complexity of a behavior and the complexity of the underlying mechanism will more or less match in degree. However, cases where these kinds of expectations are confounded, i.e. when seemingly complex behaviors are the result of surprisingly simple mechanisms, or when the mechanism underlying a simple behavior appears unnecessarily complex, can be particularly instructive. Instances of the former are found for example in developmental biology, where the mechanisms underlying complex morphological patterns have often been found to be simpler than expected (e.g. von Dassow et al. 2000; Lewis 2003). Interestingly, these are typically cases where intuition fails and mathematical methods have to be employed to explain the phenomenon in terms of the underlying mechanism. This shows that epistemic complexity, i.e. the complexity of the explanatory task, is not related in a straightforward way to the complexity of the system.	Biologists often expect a system's behavioral complexity to match its mechanistic complexity. However, anomalies, where complex behaviors emerge from simple mechanisms or vice versa, can be particularly insightful. The complexity of explanation does not straightforwardly align with the system's complexity.	Relationship Between Behavioral and Mechanistic Complexity
To summarize this section, I have discussed three distinctions that should be taken into account when looking for a clarified picture of biological complexity. Ontic and epistemic complexity apply to different categories: ontic complexity directly refers to the systems studied by scientists, whereas epistemic complexity refers to a scientific task or problem. Mechanical and emergent complexity are two different and somewhat conflicting ways in which the notion of ontic complexity can be further spelled out. Mechanical complexity captures the intuition that a system is complex if its components interact in very specific and tightly controlled ways, whereas emergent complexity is the idea that a system is complex if it exhibits some degree of structure or organization that arises from underlying disorder. Finally, the distinction between complexity of mechanism and the complexity of behavior was introduced to take into account the fact that biologists, even when talking about the same system, apply the notion of complexity differently depending on whether they use it with reference to the explanans or the explanandum. It is important to note that in my account mechanical complexity and complexity of mechanism are very different notions. In my usage, “mechanism” or “mechanistic” refers primarily to the logical role of being the explanans in the (causal) scientific explanation of a phenomenon, while “mechanical” refers to a particular idea of the structure and organization of a system.	The text defines three distinctions in understanding biological complexity: ontic and epistemic, mechanical and emergent, and complexity of mechanism and behavior. Ontic complexity is inherent in the systems studied, while epistemic refers to the complexity of scientific tasks or problems. Mechanical complexity refers to tightly controlled interactions, while emergent complexity arises from underlying disorder. The complexity of mechanism and behavior distinguishes between explanations (explanans) and phenomena (explanandum) within a system.	Three Important Distinctions in Understanding Biological Complexity
 A unified framework for biological complexity 		
What I have called emergent and mechanical complexity seem to be quite different, even diametrically opposed notions. From the point of view of the emergent complexity conception, mechanical complexity is not complexity at all since the order found in a mechanically complex system does not arise from disorder. Conversely, from the point of view of mechanical complexity, a system like a flock of birds is not complex because its behavior does not seem to depend on the fine details of the structure of the system. The distinction between complexity of mechanism and complexity of behavior adds to the heterogeneity of the resulting picture.	Mechanical and emergent complexities seem contradicting, each dismissing the other. The difference between complexity of mechanism and behavior adds to this diverse picture.	Contrasting Views on Mechanical and Emergent Complexity
In this section I propose a more encompassing perspective that aims at capturing these different aspects based on the technical notion of effective complexity, introduced by Murray Gell-Mann and Seth Lloyd (Gell-Mann and Lloyd 1996; Gell-Mann 2002). The basic idea underlying my framework is that biological complexity should be understood as a quantitative relationship between the effective complexity of the behavior of a system and the effective complexity of the underlying mechanism. This allows me to understand emergent complexity and mechanical complexity as different regimes of this relationship. At the same time it illuminates the way in which biological complexity is necessarily relative and cannot be attributed to systems in an unqualified manner.	The idea of biological complexity is proposed to be understood as a relationship between the effective complexity of a system's behavior and its underlying mechanism. This perspective enables the interpretation of emergent and mechanical complexities as different aspects of this relationship, and illustrates the relativity of biological complexity.	Effective Complexity as an Encompassing Perspective
Effective complexity		
As we have seen, it is a common idea that complexity is not a simple concept itself, and that there is a plurality of views on the actual nature of complexity. Independently of this fact, it might nevertheless be possible to find a measure of complexity that enables comparisons of different systems. This is not at all uncommon in science. For example, measures of temperature were accepted long before there was any agreement on the nature of the underlying phenomenon.	Despite the diverse perspectives on complexity, it may still be possible to develop a comparative measure for it, similar to how temperature was measured before fully understanding the underlying phenomenon.	Measuring Complexity Despite Diverse Interpretations
One quickly recognizes, however, that there are not only different perspectives about what complexity is, but also that there exist numerous different measures of complexity that are applied in different contexts (Lloyd 2001). Many complexity measures are in some way based on numerosity, or the number of relevant components, processes, interactions etc. of a system (cf. Ladyman and Wiesner 2020). Similarly, in the context of statistical and mathematical modeling, complexity is often related to the number of variables or of free parameters of a model. In biological contexts, the complexity of organisms is often assessed based on the number of different genes or of cell types. Other measures are based on variance. For example, McShea (2005) proposes to compare the degree of internal variance between different organisms in order to investigate possible complexity trends in evolution. The fact that there are different measures of complexity in different contexts does not necessarily imply a multitude of underlying concepts. These different measures might be understood as proxies that in different ways provide information about the actual underlying complexity of a system. A common trait of all these measures is that they directly relate the complexity of a system to some property of a description of that system.	Complexity in biology is diverse, encompassing distinctions like ontic vs. epistemic complexity, mechanical vs. emergent complexity, and complexity of mechanism vs. behavior. This shows that complexity in biology is a relative concept, rather than an absolute one.	The Multifaceted Nature of Complexity in Biology
A generalized and formal version of this kind of measure can be found in the concept of algorithmic complexity (Kolmogorov 1963), or algorithmic information content, which is defined roughly as the length of the shortest set of instructions that can reproduce a given string of letters or numbers. One may thus feel inclined to say that a system is more complex than another if its description has higher algorithmic complexity. However, a tension with intuitive ideas about complexity arises here because maximal algorithmic complexity is assigned to a fully random string. If we were to directly apply the idea of algorithmic complexity to the description of systems, then a completely disordered system, such as a gas, would have to be considered maximally complex because we need to describe the motion of each particle independently and have no way of compressing that information. This suggests that a reasonable general measure for the complexity of systems must take into account in some way the degree to which the system is structured or organized.	While algorithmic complexity, which measures the length of the shortest set of instructions to reproduce a given system, might suggest that a completely random system is most complex, it overlooks the idea of structure and organization in a system. Therefore, a broader measure of complexity should take into account a system's level of structure and organization, presenting a balanced perspective.	Balancing Algorithmic Complexity with System Organization
Gell-Mann and Lloyd (1996) proposed a measure of “effective complexity” in order to capture this aspect. Gell-Mann explains the idea as follows: "It would take a great many different concepts to cover all our intuitive notions of what is meant by complexity (and its opposite, simplicity), but the concept that agrees best with the meaning in ordinary conversation and in most scientific discourse is effective complexity (EC). Roughly, the EC of an entity is the length of a very concise description of its regularities." (Gell-Mann 2002, pp. 13–14) Thus, complexity is clearly related to algorithmic information content because Gell-Mann and Lloyd understand “very concise description” exactly in terms of the shortest program generating the description of an entity. But importantly, the relevant description is restricted to certain features of the entity. More specifically, they argue that the total algorithmic information can be decomposed into two terms that can be understood as describing the random and the regular features of an entity, respectively. In order to achieve this decomposition, the entity of interest must be embedded within an ensemble of comparable entities. These entities share certain features but may be different in various other respects. Effective complexity is then defined as the algorithmic information content of the ensemble. The choice of ensemble therefore determines what the regular aspects of an entity are. The remaining part of the total algorithmic information content of the entity is interpreted as a description of its non-regular features. It can be understood as an entropy term because it measures our ignorance about the entity if we would only know that it belongs to the ensemble. Intuitively, the larger this term, the more the members of the ensemble can vary among each other.	Gell-Mann and Lloyd proposed the concept of "effective complexity," which blends the concept of algorithmic complexity with the organization of a system. They differentiate between the random and the regular features of a system, attributing the algorithmic complexity to the latter, while considering the randomness of a system as an entropy term reflecting our ignorance about it. The ensemble chosen to evaluate a system thus determines its regular features and consequently its effective complexity.	Effective Complexity: Integrating Algorithmic Complexity and System Structure 
