Full Text	GPT-4 Summary	GPT-4 Title	
This framework radically shifts the position of humans in relation to other life-forms. Rather than emphasizing human uniqueness (along with the inevitable corresponding denigration of other species), it emphasizes continuities of cognition across the biological spectrum while still acknowledging the specificities of each species’ capacities. At the same time, it also recognizes humans’ special ability to take responsibility for those attributes associated with symbolic reasoning and higher consciousness, such as the ability to formulate complex plans, implement them, and recognize large-scale patterns and significances. Taking responsibility positions humans not as dominators of the planet but as caretakers of it for their own benefit, for other species, and for the planet-wide systems of material processes on which all life depends.	The framework aligns humans cognitively with other life-forms, highlighting continuities rather than uniqueness. However, it acknowledges human capabilities for complex reasoning and responsibility, positioning us as planet caretakers, beneficial for all life and the Earth's systems.	Repositioning Humans in the Web of Life	
In addition to recontextualizing human cognition in relation to other life-forms, this approach also enables a different understanding of computational media relative to human cognition. Although many biosemioticians argue that computers cannot create meanings because they are not autonomous, this objection is an arbitrary limitation belied by what computers actually do. As far I know, no computational media are conscious. Nevertheless, like nonconscious organisms, computers have internal and external milieus: they process and interpret information, including information from sensors and actuators when these things are present, and they create meanings in the sense of performing behaviors that have efficacy within their environments. Because cognition is inherently embodied, making these claims does not obscure or avoid the fact that computational media have profoundly different instantiations—that is, bodies—than do biological organisms, nor does it imply that computers operate like brains or vice versa.	The approach redefines our understanding of computational media, arguing that computers, akin to nonconscious organisms, interpret information and create meaningful behaviors within their environments, despite their unique physical forms.	Computational Media and Meaning	
Thus repositioned, cognition spans all three domains—humans, nonhumans, and computational media—while foregrounding the importance of specific embodiments and embeddings across the domains. Moreover, the extension of human cognition through computational media has been and in all likelihood will continue to be a major driver in human evolution now and in the foreseeable future. Human cognition no longer relies solely on the glacial pace of biological evolution but now proceeds through the exponentially faster processes of cyber-bio-evolution, where evolution through generational change is measured in months rather than in hundreds of thousands of years. Wherever cognitive processes take place—in humans, nonhumans, and technical devices—they bestow the advantages of flexibility, adaptability, and evolvability. At the same time, all cognitive processes depend on material processes, such as chemical reactions, that are not cognitive in themselves because they do not perform interpretations, make choices or selections, or create meanings. It took the spark of life to activate those possibilities, and it took millions of years more for that spark to evolve into life-forms capable of creating similar cognitive possibilities in artificial media.	Cognition, spanning humans, nonhumans, and computational media, underscores the significance of unique embodiments across these domains. The human cognitive evolution has shifted towards cyber-bio-evolution due to computational media, bringing quicker adaptability and evolvability. Despite this, all cognitive processes remain reliant on non-cognitive material processes like chemical reactions. The evolution of life has activated these possibilities, eventually leading to artificial media with cognitive potential.	Cognition Across Domains: Cyber-Bio-Evolution	
Although my definition of cognition focuses primarily on individual cognizers, I also want to emphasize that interpretations and meaning-making practices circulate through transindividual collectivities created by fluctuating and dynamic interconnections between humans and computational media, interconnections that I call cognitive assemblages. Much of the world’s work in developed societies is increasingly done through cognitive assemblages. You may not think about it in these terms, but when you activate your car’s starter motor by means of a key with an embedded chip, you are participating in a cognitive assemblage. That sequence can be described as follows: the embedded key chip links up with your vehicle’s computer and allows the ignition button to activate and complete an electrical circuit, initiating a chain of events in which a current is fed to the solenoid, which turns on an electromagnet, attracting an iron rod, whose movement closes two heavy contacts, thus completing the circuit from the battery to the starter, which then turns the shaft so that the pinion (or gear wheel) engages with a large gear ring around the rim of the engine flywheel, which begins to turn at increasing speeds, and voilà!—your car starts. This sequence used to be purely electromechanical, but now virtually all contemporary cars have keys with embedded chips and vehicle computers, which typically work to control, disseminate, and modulate information. Similarly, you are participating in cognitive assemblages when you talk on your cell phone, turn on a light switch, fly on a plane, take the subway, order groceries on Amazon, use your credit card to pay a restaurant bill—each of these everyday activities is interfaced with computational media such that it will not work without them. As different entities, human and nonhuman, enter into communication and information circuits, the assemblage fluctuates in its groupings and functions. The cognitive-assemblage framework aims to be flexible enough to accommodate these differences while still being specific enough to be useful.	Cognitive assemblages, dynamic interconnections between humans and computational media, facilitate the circulation of interpretations and meaning-making practices across collective entities. Many everyday actions, from starting a car to online shopping, involve participation in these assemblages, interfacing with computational media. As various entities communicate and exchange information, the assemblage's functions and groupings fluctuate. The cognitive-assemblage framework is designed to handle these differences while maintaining its practicality.	Cognitive Assemblages in Human-Computational Systems	
If we ask why computational media deserve primary emphasis in the framework developed here, the answer may not be immediately obvious. They are not, for example, the most impactful for ordinary human lives; that honor might go to transportation networks, from dirt paths to jet aircraft. Nor are they the most important for human well-being; sanitation facilities and water-treatment plants would be better candidates for that nomination. But transportation networks, sewage-disposal systems, and water-treatment plants are nowadays likely to have computational components as controllers, communicators, distributors, and interpreters of information flows. As with an automobile starter circuit, these computational components intervene in previously developed technologies to make them more flexible and adaptive to changing circumstances. It is precisely their cognitive capabilities—their ability to interpret information flows in ways that connect them to contexts of meaning—that account for their deep penetration into virtually every aspect of contemporary life and for the enormous effects they are having on how we humans live our lives and the kind of creatures we understand ourselves to be.	Computational media, due to their ability to interpret and adapt information, are integral to modern life and shape our self-perception, despite less direct impact compared to other systems like transportation or sanitation.	The Cognitive Significance of Computational Media	
In (very) broad outline, then, the situation looks like this: It took a few million years for biological evolution to result in Homo sapiens, the first species to engage extensively in abstract thought and symbolic reasoning. Humans are the cognitive species par excellence, and we have used these abilities to instantiate symbolic reasoning and logic in artificial media, which now have their own evolutionary dynamics. In suggesting a parallel between biological and artificial evolution, I do not intend to minimize the significant differences between them. These differences can be understood through what I call the two great inversions. The first inversion replaced the biological mandate “survive and reproduce,” the process through which biological evolution proceeds, with the computational mandate “design and purpose.” Computational systems, unlike biological organisms, are designed for specific purposes, so their evolution in this sense proceeds in top-down fashion.	 Over millions of years, biological evolution led to humans, unique in their abstract thinking and symbolic reasoning. Humans have transferred these abilities into artificial media, initiating a novel evolutionary pathway. This 'artificial evolution' signifies a shift from the biological "survive and reproduce" mandate to a design-focused, purpose-driven computational directive.	The Interplay of Biological and Artificial Evolution	
The second great inversion concerns the directionality of evolutionary trajectories. From day one, biological organisms had to be able to cope with fluctuating and unpredictable environments; if they could not, they did not survive. From this foundation, a cognitive trajectory toward increasing complexity eventually led to the capability for abstract thought. Computational media, by contrast, instantiate abstract thought at a foundational level in the logic gates, which are almost completely deterministic. From this base, layers of software increasingly enable computational media to deal with uncertain and ambiguous information. When sensors and actuators are added, computational systems may also be able to deal with environmental ambiguities and fluctuations. In addition, developments beyond von Neumann architectures, such as neural nets and neuromorphic chips, further advance in the direction of fault-tolerant systems able to draw inferences from unruly data and to operate successfully even with contradictory information.13 In this sense, then, the trajectory of computational evolution proceeds in the opposite direction from biological evolution. The biological progression is from uncertainties up to abstraction, which the computational progression inverts so that it proceeds from abstraction up to uncertainties.	Biological organisms had to adapt to fluctuating environments to survive, eventually leading to abstract thinking. Computational media, however, started with abstract logic gates that are highly deterministic. Over time, software layers, sensors, actuators, and advanced architectures have enhanced their ability to manage uncertain and ambiguous data. Thus, biological evolution moves from uncertainty to abstraction, while computational evolution moves from abstraction to uncertainty.	The Inverted Trajectories of Biological and Computational Evolution	
In summary, my focus on cognition is intended to capture the aspects of computational media that make them not just another technology but a cognitive technology able to interpret, disseminate, and contextualize flows of information so they become meaningful within specific contexts. This is why these media are able to impart to a huge variety of other technologies the advantages that cognition bestows—flexibility, adaptability, and evolvability. Once mechanical processes are interpenetrated by computational components able to interpret information and create meaning from it, they are able to carry out tasks impossible for machines without cognitive abilities.	Cognition is key to computational media, making them cognitive technologies that interpret, distribute, and contextualize information. This cognition grants flexibility, adaptability, and evolvability to other technologies, enabling tasks impossible for non-cognitive machines.	Cognitive Technology: Beyond Mechanical Processes	
For example, mobile robots stacking boxes in a warehouse are able to do tasks that would be impossible for a forklift lacking a human driver.14 The forklift by itself cannot navigate around obstacles; it is unable to judge properly how to lift and stack boxes, nor does it know when to start and stop. The forklift can operate only when human cognition comes to the rescue and provides the cognitive abilities that it lacks. But as the box-stacking robots demonstrate, incorporating computational components into machines now enables machines to take on tasks that formerly could be done only by humans.	Incorporating computational components lets machines handle tasks previously only possible by humans, like mobile robots stacking boxes autonomously.	Autonomous Machines Surpassing Human Tasks	
Of course, humans create, program, implement, and maintain these cognitive devices (by operating within the relevant cognitive assemblages). Nevertheless, the intervals in which cognitive technologies operate autonomously are becoming both more numerous and longer in duration. Self-driving cars, already in use, are an obvious example, but they are the tip of the iceberg. Much of the infrastructure of developed societies already incorporates and completely depends on cognitive technologies, including electrical grids, communication networks, currency and monetary exchanges, transportation vehicles in all their forms, and so forth. In fact, I will make the bold claim that daily life in developed societies can proceed in normal fashion only because of the incorporation of cognitive assemblages, without which crucial infrastructural systems simply would not function.	Cognitive technologies are increasingly operating autonomously, extending beyond self-driving cars to numerous societal infrastructures like electrical grids, communication networks, and transportation systems. It's a bold but accurate claim that developed societies depend on these cognitive assemblages for their daily operations.	Rise of Autonomous Cognitive Technologies	
 Cognitive Assemblages and Becoming Computational 			
As a phrase, cognitive assemblage, like Janus, faces in two directions at once. One face turns toward the embodied, embedded, and enactive processes of cognition, which are always species specific, related to specific contexts and circumstances, circumscribed by the sensory and cognitive capacities of organisms that create distinctive world horizons, and performed by individual entities. The other turns toward fluctuating collectivities through which information, interpretations, and meanings circulate. It foregrounds connections between entities, circuits of stores and flows, resistances and affordances that they inflect and direct, and the diverse meanings partially shared and partially obscured that emerge through those connections and circuits. Although each of the connections can be specified through the materialities creating them, the flow allows information to travel among different substrates and diverse interpretation media. In this sense, the cognitive-assemblage framework enables two different kinds of discourses: one that focuses on the materialities of individual participants and another that focuses on the more abstract flows that bind entities together into a collectivity.	 "Cognitive assemblage" refers to both the individual cognitive processes, which are unique to specific organisms, and the collective flow of information, interpretations, and meanings among these entities. This framework acknowledges the material aspects of individual entities, as well as the abstract flow of information that connects these entities into a shared network.	Dual Perspectives of Cognitive Assemblages	
It is worth emphasizing that a cognitive assemblage may include conscious participants, but its functionality does not require it to do so. It can also operate through nonconscious cognition and with nonhuman entities as well as with humans. A cell phone call, for example, means one thing to the person receiving it, another thing to the phone receiving/producing it, and still something else to the repeating tower used to help transmit it. If the human is cut out of the loop, for example, when a user does not answer and the call goes to voicemail, then all of the participants receiving and interpreting the call are nonhuman computational cognitive entities.	A cognitive assemblage can function with nonconscious, nonhuman participants. For instance, in a phone call, various interpretations occur by the receiver, phone, and tower, all functioning even if the call goes to voicemail.	Cognitive Assemblages Without Human Involvement	
In appropriating the term assemblage, I draw on the work of both Bruno Latour and Gilles Deleuze and Félix Guattari, with some differences. In Latour’s invocation of assemblage, often used as a synonym for network, objects with no cognitive capacities, such as a hammer or pulley, are agents just as much as cognitive entities are (although, in fact, Latour rarely instances cognitive technologies such as computers, preferring to remain in the realm of mechanical devices).15 In contrast, my view of assemblage makes a clear distinction between cognitive entities and noncognitive ones. In Deleuze and Guattari’s texts, “assemblage” is often how the term agencement is translated. The French term better captures the dynamism they envision for an assemblage, in which components are always on their way to becoming something else. In contrast to their usage, I assume that entities may be relatively stable and preexist the assemblage in which they participate. Another inspiration for me is Deleuze and Guattari’s notion of “becoming” (as in “becoming-animal” or “becoming-woman”), which for them is a result of seeing entities as more or less temporary arrangements, with special emphasis on movements from majoritarian configurations to minoritarian ones.16 Of course, Deleuze was highly influenced by the work of Gilbert Simondon, another powerful thinker about the way transindividuation (movements beyond the individual that form a consistent aggregation) takes place, as well as by Alfred North Whitehead, whose processural philosophy also heads in this direction.17 My hesitation about adopting such philosophical positions wholesale has to do with what I see in Deleuze and Guattari as their neglect—indeed, almost complete erasure—of the mechanisms that work toward preserving the stability of entities, from the skin that for mammals is the body’s largest organ to the fundamental role of DNA in conserving information across the generations of biological life-forms to the systemic dynamics that make computational media distinct as well as interconnected. Such stabilizing mechanisms are always in dynamic tension with destabilizing ones, but to emphasize only destabilization is as distorting as to emphasize only stabilization (for example, the mistaken focus on DNA as the sole arbiter of how inheritance works even though it is now recognized to be in dynamic interaction with epigenetics and other mechanisms). These reservations are expressed typographically in my subtitle by the absence of the Deleuzian hyphen in “becoming computational.”	The term "assemblage" is used with influences from Bruno Latour, Gilles Deleuze, and Félix Guattari, though with differences. While Latour includes non-cognitive objects as agents in his assemblages, this perspective distinguishes between cognitive and noncognitive entities. The Deleuzian-Guattarian concept of assemblage, capturing dynamic component transitions, is also drawn upon, but with allowance for relatively stable preexisting entities. The idea of "becoming", from Deleuze and Guattari, informs this view, but there's a resistance to ignore the stabilizing mechanisms of entities. The author sees a necessary balance between stabilization and destabilization dynamics in entities.	Interpreting 'Assemblage': Stability and Transition	
The idea that the evolution of computational media is now completely entwined with human evolution strikes me as a conclusion as inescapable as it is potent with implications for the future of humans and the planet. In my work in progress, “Cyber-bio-evolution: A General Ecology of Cognitive Assemblages,” I explore this idea in depth, which I call cybersymbiosis. We (humans) are becoming computational in one way or another, just as computational systems are edging toward the biologically fundamental processes of dealing with uncertainties and ambiguities. If we are to believe the intimations of our science fiction writers, perhaps computational systems are also evolving toward the biological mandate of survival and reproduction (as in films such as Terminator, Ex Machina, etc.). It follows that books in all their diversity, as facilitators of and interactors with human cognitions, are also in the process of becoming computational. My focus is not only books by themselves, however, but also books in the context of encompassing cognitive transformations. The conjunctive and in my subtitle is meant to position their becoming computational as one aspect of a much larger picture: the becoming computational of humans and, indeed, of the entire planet.	The evolution of computational media is inextricably linked with human evolution, a phenomenon termed as "cybersymbiosis". Both humans and computational systems are increasingly adapting to each other, particularly in handling uncertainties. This integration impacts diverse mediums, notably books, which are transforming to facilitate human cognition in this computational environment. The transformation of books is just a fragment of a broader paradigm shift involving humans and the planet at large becoming more computational.	Cybersymbiosis: The Shared Evolution of Humans and Technology	
 Cognitive Assemblages and Postprint 			
What kind of work can the cognitive-assemblage framework do in relation to postprint? It provides a way to conceptualize innovations in print technology as redistributions of cognitive capabilities between humans and machines. Such an approach enables new questions to be asked about the benefits and limitations of the emerging assemblages—a crucial point, for example, in chapter 2 in explaining why the Paige Compositor was rendered obsolete by the Mergenthaler Linotype typesetting machine. It also provides a way for transformations in printing machines to be linked to corresponding changes in editing, designing, producing, selling, and consuming books because at a foundational level all of these changes have resulted from the introduction of computational media. Many branches grow from this trunk, and although they may appear different in function, form, and placement along the production cycle, tracing them back to the root transformation enables us to understand them as related effects and not simply as different kinds of phenomena. Postprint reveals this convergence by locating print within the computational-media ecology in which it currently exists.	The cognitive-assemblage framework offers a perspective to view print technology innovations as redistribution of cognitive capabilities between humans and machines, illuminating transformations across all aspects of book production due to the introduction of computational media, thereby situating print within the current computational-media ecology.	Cognitive Assemblages in Postprint Innovations	
In addition, postprint suggests new kinds of connections with existing fields of inquiry. The area centrally concerned with print technologies in relation to books is of course the history of the book. The recent flourishing of scholarship in this area has made many important contributions, especially in its attention to the materiality of texts and the everyday practices of literary production and consumption. Nevertheless, the kind of wide-ranging yet coherent approach I advocate here is still underdeveloped and underappreciated within the discipline as a whole, perhaps because of a lingering distrust of and ignorance about computational technologies and their relation to literary enterprises. Only in the past few years have studies emerged that link the history of the book with computational media, such as Johanna Drucker’s SpecLab: Digital Aesthetics and Projects in Speculative Computing; Matthew Kirschenbaum’s meticulously researched Track Changes: A Literary History of Word Processing; Dennis Tenen’s Plain Text: The Poetics of Computation; and Amaranth Borsuk’s The Book, among others.19 To my knowledge, my focus on cognition here pursues the link between the history of print and computational technologies along lines not previously explored. It brings to light new archival resources in the history of technology not generally acknowledged within studies of the history of the book; through interviews, it also develops connections with scholarly publishing practices that illuminate the complex ways in which humans respond when they find themselves having to deal with technologies they did not invent and may not completely understand but that they also cannot avoid.	Postprint builds upon book history, bringing new insights to the relationship between books and computational media. Despite some initial resistance, studies are increasingly linking these two fields, exploring the role of cognition in these connections. This approach unveils new archival resources and presents human reactions to new, yet unavoidable, technologies.	Bridging Print History and Computational Media	
The focus on cognition also serves as a springboard to further understand cultural phenomena: the ways that print has been enmeshed in what it means to be human in literate, developed societies and how these ways are changing as some of the cognitive tasks that once were performed exclusively by humans are now carried out by computational media. Such a change in the distribution of cognitive capabilities carries important and, indeed, momentous implications about the future of the human species as well as about the everyday practices of writing, editing, and producing books, a throughline that connects all the chapters.	Understanding cognition helps in studying the cultural significance of print in literate societies and how it's changing with the introduction of digital media. The shift from human to computer in performing cognitive tasks profoundly impacts the future of humanity and daily activities like writing, editing, and book production.	From Print to Digital Media's Impact on Society	
Finally, my exploration of this subject has a personal motivation as well. Like many academics in the humanities, I live a significant portion of my everyday life through and amid print books. They are my teachers, collaborators, companions, friends, and opponents urging me to up my game. Embarking on this book has thus for me been a way to ground theoretical ideas in an area crucial to my professional practice and central to my sense of self. In a word, I am deeply invested in print culture and in the transformations it is undergoing as it morphs into postprint. At the same time, this book also serves as a test bed to put on trial general ideas about cognition, evolution, cybersymbiosis, ethics in/as innovation, and human futurity to see which of them hold up and which don’t.	The investigation of print culture's shift is personally driven due to a profound connection with books. This research is a testing ground for theories on cognition, evolution, and human futurity.	A Personal Lens on Print Culture's Evolution	
 Postprint as Equivocal Figure 			
In a sense, the marriage I am proposing under the rubric of postprint is much stranger than that of a Montague and Capulet who have fallen madly in love because it joins not just two estranged lineages but multiple ones. Consider, for example, the relation between book studies and the history of technology. One would think the two should be closely related because the book, as book historians rightly delight in pointing out, is a result of complex technological processes. Yet they have much fewer crossovers than might be imagined, in part, I suspect, because of the aura and cultural capital of books compared, say, to a ball-bearing factory. Or think of the history of computing in relation to book studies. As mentioned earlier, only recently have studies appeared that link the two, even though, as I show in chapter 2, their fates have been entwined since the 1950s. Or, again, consider the cognitive studies of literature, an emerging field with several landmark studies and collections, and of electronic literature, the area of literary creation, discussion, and criticism that most directly connects to computation. With few exceptions, the two fields proceed along divergent tracks and have almost completely different archives of reference, principally because “cognition” in cognitive studies is invariably taken to mean human cognition without extending the idea to computational media.	The concept of postprint involves a complex and unconventional union of diverse fields such as book studies, history of technology, history of computing, cognitive studies of literature, and electronic literature. Despite inherent connections, these fields often lack intersections due to various factors, including cultural perceptions and different reference archives. The exploration aims to link these disparate fields, highlighting the shared history and evolving relationship between human cognition and computational media.	Intersecting Disciplines	
Yet the seemingly unconnected threads sticking out from these multiple fields cross one another all the time, and it takes only a shift in perception to bring the linkages between them into view. I think here of equivocal figures, such as the vase that suddenly is perceived as the profile of a young woman. I hope that the idea of machine cognition and the related concept of cognitive assemblages will stimulate a shift in perception that brings a new configuration into view for my readers, the result of a marriage between multiple partners with several different lineages. In my experience with equivocal figures, once both possibilities are perceived, it is possible to switch from one to the other by focusing on a point of connection—say, a pedestal indentation that becomes a projecting chin. Perhaps the term postprint may function as the verbal cue, akin to the pedestal indentation, that allows folks to see how the new configuration emerges from yet interacts with older perceptions, creating a rich sense of dynamic interaction between them. My intent is thus not simply to negate older configurations that assume that only humans have cognition but also to enhance them by putting them in different contexts of meaning and interpretation, processes central to my framework of cognitive assemblages but also operating within readers in relation to the new picture I hope to bring into visibility.	The seemingly disparate fields constantly intersect, and a shift in perception can reveal these connections. The concepts of machine cognition and cognitive assemblages could catalyze this shift, bringing a new multidisciplinary view. The term 'postprint' might serve as a cue to help perceive how this new configuration coexists and interacts with older perspectives. This isn't aimed at negating traditional views that associate cognition solely with humans but seeks to enrich them by putting them in new contexts, aligning with the concept of cognitive assemblages.	Postprint Cognition and the Shift in Perception	
 Recent Book Scholarship in Relation to Postprint 			
